system:index,date,temperature_2m,.geo
20241001_0_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_1_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_2_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_3_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_4_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_5_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_6_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_7_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_8_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_9_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_10_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_11_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_12_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_13_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_14_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_15_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_16_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_17_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_18_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_19_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_20_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_21_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_22_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_23_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_24_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_25_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_26_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_27_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_28_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_29_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_30_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_31_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_32_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_33_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_34_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_35_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_36_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_37_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_38_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_39_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_40_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_41_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_42_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_43_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_44_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_45_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_46_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_47_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_48_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_49_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_50_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_51_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_52_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_53_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_54_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_55_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
20241001_56_0,2024-10-01,301.1803722381592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38595103938587,31.434927711201233]}"
