ndvi_t1,ndwi_t1,vv,vh,crop_confidence,crop_label
0.8385565,0.74414414,-13.68069724786154,-20.97203280301982,11,Wintercereal_Wheat_or_Mustard
0.7636408,0.7040189,-12.583294541127056,-18.96438873749597,47,Wintercereal_Wheat_or_Mustard
0.80669713,0.7341125,-12.727867239186256,-18.58686489890536,70,Wintercereal_Wheat_or_Mustard
0.8181818,0.76485336,-12.727867239186256,-18.836038511856906,95,Wintercereal_Wheat_or_Mustard
0.8260414,0.7632178,-13.225854912316484,-18.899363708338463,93,Wintercereal_Wheat_or_Mustard
0.20491274,0.2620176,-10.3647466308946,-19.679075115472813,98,Wintercereal_Wheat_or_Mustard
0.19386777,0.26326463,-9.352821813415645,-20.43686722860368,92,Wintercereal_Wheat_or_Mustard
0.26086956,0.30991217,-10.533298217312517,-17.872806527270683,88,Wintercereal_Wheat_or_Mustard
0.24719764,0.29772866,-10.387873207216074,-18.0532115070334,88,Wintercereal_Wheat_or_Mustard
0.37868237,0.42288557,-10.971603393545877,-17.336592917866056,96,Wintercereal_Wheat_or_Mustard
0.8670672,0.743338,-12.132697774571994,-17.439764815383178,96,Wintercereal_Wheat_or_Mustard
0.8417748,0.7329657,-11.694080901131208,-16.72484821654541,91,Wintercereal_Wheat_or_Mustard
0.6978183,0.62581855,-11.082283362804493,-18.68690212376182,15,Wintercereal_Wheat_or_Mustard
0.8530365,0.76965946,-13.025093002490047,-20.963346636548053,1,Wintercereal_Wheat_or_Mustard
0.8437286,0.7490247,-13.278829494197788,-20.96174483361513,7,Wintercereal_Wheat_or_Mustard
0.77598435,0.714758,-13.844023932646172,-20.64740108464775,33,Wintercereal_Wheat_or_Mustard
0.819171,0.7616658,-14.438653597490203,-20.622966898063705,90,Wintercereal_Wheat_or_Mustard
0.811524,0.75482523,-12.732167550126164,-19.23776733918954,90,Wintercereal_Wheat_or_Mustard
0.81695825,0.7564403,-12.184155140567956,-19.751969330073493,82,Wintercereal_Wheat_or_Mustard
0.8196329,0.75384617,-11.87824338626488,-18.762372677982285,93,Wintercereal_Wheat_or_Mustard
0.82509506,0.7427386,-11.919860804179692,-19.253172065971125,73,Wintercereal_Wheat_or_Mustard
0.21498771,0.28525016,-10.228405355483666,-18.25931914227524,92,Wintercereal_Wheat_or_Mustard
0.23947926,0.2935229,-9.860554577012374,-19.027503923505638,91,Wintercereal_Wheat_or_Mustard
0.28496197,0.31971154,-9.695248469215551,-16.432954768042222,94,Wintercereal_Wheat_or_Mustard
0.277729,0.30914542,-10.037843956986514,-16.885169486029106,96,Wintercereal_Wheat_or_Mustard
0.34675363,0.3909224,-10.38442499534391,-17.648457385686605,95,Wintercereal_Wheat_or_Mustard
0.6734118,0.6079584,-10.906141403213708,-17.32248274312431,95,Wintercereal_Wheat_or_Mustard
0.83362216,0.7140543,-10.98758772310961,-17.91341093032689,96,Wintercereal_Wheat_or_Mustard
0.8739003,0.7447099,-11.489179070476698,-17.093956400036145,91,Wintercereal_Wheat_or_Mustard
0.83586746,0.7077063,-12.157214044491544,-16.50261456398303,91,Wintercereal_Wheat_or_Mustard
0.8318404,0.71750337,-11.391692471294412,-16.631846955407987,84,Wintercereal_Wheat_or_Mustard
0.7696052,0.6533603,-10.688209313665952,-18.231770102471582,87,Wintercereal_Wheat_or_Mustard
0.7985199,0.73155594,-11.97151972436922,-18.725520053499444,41,Wintercereal_Wheat_or_Mustard
0.83971024,0.7464002,-12.8181245136091,-19.26416548457499,27,Wintercereal_Wheat_or_Mustard
0.8414664,0.73004425,-13.85977228252334,-20.216773149557724,22,Wintercereal_Wheat_or_Mustard
0.7903441,0.7361614,-13.687328916525118,-19.431761844700542,80,Wintercereal_Wheat_or_Mustard
